JobID,Title,Company,CompanyCategory,Industry,Location,ExperienceLevel,ExperienceYearsMin,ExperienceYearsMax,AnnualSalaryINR,RequiredSkills,OptionalSkills,EducationRequired,JobType,PostingSource,DatePosted,IsRemote,IsActive,PostingYear,PostingMonth,PostingMonthName,PostingYearMonth,DaysOld,SalaryBand,ExperienceBracket
JOB00017,Data Analyst,Tcs,Product,Real Estate,Chennai,Entry Level (0-2 Yrs),0,2,360000,Excel|R|Statistics,Data Visualization|Google Analytics|Power BI|Looker,MCA,Contract,LinkedIn,2026-01-21,0,0,2026,1,Jan,2026-01,83,₹0–5L,Fresher (0-1yr)
JOB00018,Bi Developer,Latentview,Consulting,Gaming,Bangalore,Mid Level (2-5 Yrs),2,5,1280000,Tableau|SSRS|DAX,SQL|Data Modeling|Looker,BCA,Full-Time,LinkedIn,2025-11-09,0,1,2025,11,Nov,2025-11,156,₹10–15L,Mid (3-6yrs)
JOB00019,Data Scientist,Ey,Startups,Logistics,Delhi Ncr,Entry Level (0-2 Yrs),0,2,840000,Python|Machine Learning|SQL|Deep Learning|Scikit-learn,Statistics|TensorFlow|NLP,M.Sc (Statistics),Contract,Naukri,2025-06-13,0,1,2025,6,Jun,2025-06,305,₹5–10L,Fresher (0-1yr)
JOB00020,Data Scientist,Salesforce,Startups,Media & Entertainment,Delhi Ncr,Senior Level (5-8 Yrs),5,8,3160000,PyTorch|Statistics|NLP|Python|Deep Learning,SQL|R|Scikit-learn|Machine Learning,MBA,Full-Time,IIMJobs,2025-11-12,0,1,2025,11,Nov,2025-11,153,₹30L+,Senior (6-10yrs)
JOB00021,Data Scientist,Wipro,Startups,Media & Entertainment,Mumbai,Mid Level (2-5 Yrs),2,5,1150000,SQL|R|PyTorch|Scikit-learn|Deep Learning,NLP|TensorFlow,BCA,Internship,Instahyre,2025-08-19,0,0,2025,8,Aug,2025-08,238,₹10–15L,Mid (3-6yrs)
JOB00022,Bi Developer,Ltimindtree,Analytics Firms,Real Estate,Hyderabad,Mid Level (2-5 Yrs),2,5,1310000,Looker|DAX|Excel,Power BI|Tableau|SSRS|Python,M.Tech/M.E.,Contract,IIMJobs,2025-08-14,1,1,2025,8,Aug,2025-08,243,₹10–15L,Mid (3-6yrs)
JOB00023,Business Analyst,Wipro,Startups,Real Estate,Delhi Ncr,Mid Level (2-5 Yrs),2,5,350000,Tableau|Power BI|Stakeholder Management,SQL|Agile|Excel,B.Sc (CS/IT),Internship,Glassdoor,2026-02-11,1,0,2026,2,Feb,2026-02,62,₹0–5L,Mid (3-6yrs)
JOB00024,Data Engineer,Juspay,Startups,Logistics,Hyderabad,Senior Level (5-8 Yrs),5,8,1600000,Airflow|Kafka|ETL Pipelines|dbt,Snowflake|AWS|SQL,M.Sc (Data Science),Full-Time,AngelList,2025-11-25,0,0,2025,11,Nov,2025-11,140,₹15–20L,Senior (6-10yrs)
JOB00026,Bi Developer,Urban Company,Analytics Firms,Real Estate,Mumbai,Senior Level (5-8 Yrs),5,8,1850000,SSRS|DAX|Looker|Excel|ETL,Tableau|Data Modeling,MBA,Full-Time,Instahyre,2025-10-24,1,0,2025,10,Oct,2025-10,172,₹15–20L,Senior (6-10yrs)
JOB00027,Data Engineer,Razorpay,Indian IT,Govtech,Bangalore,Lead/Principal (8+ Yrs),8,15,3050000,Python|Airflow|dbt|Apache Spark,Kafka|Snowflake,MBA,Full-Time,IIMJobs,2025-10-29,0,1,2025,10,Oct,2025-10,167,₹30L+,Principal (10+yrs)
JOB00028,Data Analyst,Bigbasket,FAANG/Big Tech,Media & Entertainment,Bangalore,Mid Level (2-5 Yrs),2,5,450000,SQL|Tableau|Google Analytics|Statistics|Looker,Data Visualization|Power BI,M.Tech/M.E.,Internship,Company Website,2025-12-13,0,1,2025,12,Dec,2025-12,122,₹0–5L,Mid (3-6yrs)
JOB00029,Machine Learning Engineer,Ola,Product,Edtech,Pune,Mid Level (2-5 Yrs),2,5,1210000,Model Deployment|Python|Docker|GCP,Feature Engineering|Kubernetes,M.Tech/M.E.,Internship,Company Website,2025-09-23,0,0,2025,9,Sep,2025-09,203,₹10–15L,Mid (3-6yrs)
JOB00030,Computer Vision Engineer,Adobe,Analytics Firms,Gaming,Pune,Mid Level (2-5 Yrs),2,5,1490000,CNN|OpenCV|Deep Learning|Python,Image Segmentation|NumPy|YOLO|PyTorch,B.Sc (CS/IT),Full-Time,IIMJobs,2025-10-11,0,1,2025,10,Oct,2025-10,185,₹10–15L,Mid (3-6yrs)
JOB00031,Business Analyst,Lenskart,Analytics Firms,It Services,Hyderabad,Mid Level (2-5 Yrs),2,5,960000,JIRA|Tableau|Excel|Power BI|Process Mapping,Requirements Gathering|Stakeholder Management|Agile,B.Tech/B.E.,Contract,Glassdoor,2025-06-06,0,1,2025,6,Jun,2025-06,312,₹5–10L,Mid (3-6yrs)
JOB00032,Nlp Engineer,Nykaa,Startups,Logistics,Mumbai,Mid Level (2-5 Yrs),2,5,1720000,Transformers|HuggingFace|TensorFlow,NLTK|NLP,B.Sc (CS/IT),Contract,LinkedIn,2025-04-26,0,1,2025,4,Apr,2025-04,353,₹15–20L,Mid (3-6yrs)
JOB00033,Business Analyst,Setu,FAANG/Big Tech,Retail,Mumbai,Mid Level (2-5 Yrs),2,5,600000,JIRA|Visio|Stakeholder Management|Power BI|Agile,Tableau|Excel|SQL|Process Mapping,MCA,Full-Time,Company Website,2025-11-04,0,1,2025,11,Nov,2025-11,161,₹5–10L,Mid (3-6yrs)
JOB00034,Data Engineer,Cred,Indian IT,Healthtech,Pune,Senior Level (5-8 Yrs),5,8,1950000,Airflow|Python|Apache Spark|Snowflake,SQL|ETL Pipelines,B.Sc (CS/IT),Full-Time,LinkedIn,2025-07-05,0,1,2025,7,Jul,2025-07,283,₹15–20L,Senior (6-10yrs)
JOB00035,Ai Engineer,Oracle,Product,E-Commerce,Bangalore,Entry Level (0-2 Yrs),0,2,730000,NLP|Python|LangChain|LLMs,OpenAI API|Vector Databases,PhD,Contract,Company Website,2026-03-02,0,1,2026,3,Mar,2026-03,43,₹5–10L,Fresher (0-1yr)
JOB00036,Mlops Engineer,Slice,FAANG/Big Tech,Fintech,Hyderabad,Entry Level (0-2 Yrs),0,2,1370000,Docker|MLflow|Terraform|Kubernetes|CI/CD,Python|Airflow|Model Monitoring|AWS,MBA,Contract,Instahyre,2025-07-06,0,1,2025,7,Jul,2025-07,282,₹10–15L,Fresher (0-1yr)
JOB00037,Business Analyst,Groww,Indian IT,Saas,Chennai,Senior Level (5-8 Yrs),5,8,1410000,Tableau|Agile|Excel|Requirements Gathering|Stakeholder Management,Power BI|JIRA|SQL|Process Mapping,BBA + Certification,Internship,AngelList,2026-03-15,0,1,2026,3,Mar,2026-03,30,₹10–15L,Senior (6-10yrs)
JOB00038,Machine Learning Engineer,Mphasis,Product,Real Estate,Mumbai,Mid Level (2-5 Yrs),2,5,1050000,Kubernetes|Docker|Python,TensorFlow|PyTorch|GCP,M.Sc (Data Science),Internship,LinkedIn,2025-06-18,0,1,2025,6,Jun,2025-06,300,₹10–15L,Mid (3-6yrs)
JOB00039,Data Engineer,Ltimindtree,Indian IT,Logistics,Hyderabad,Mid Level (2-5 Yrs),2,5,2180000,AWS|dbt|ETL Pipelines,Apache Spark|Snowflake|Python,B.Sc (CS/IT),Full-Time,IIMJobs,2026-01-22,0,1,2026,1,Jan,2026-01,82,₹20–30L,Mid (3-6yrs)
JOB00040,Ai Engineer,Capgemini,Consulting,Media & Entertainment,Pune,Mid Level (2-5 Yrs),2,5,2640000,Fine-tuning|OpenAI API|FastAPI,Python|LLMs|RAG|LangChain,B.Sc (CS/IT),Full-Time,Company Website,2025-05-31,0,1,2025,5,May,2025-05,318,₹20–30L,Mid (3-6yrs)
JOB00041,Data Scientist,Razorpay,Startups,E-Commerce,Remote,Senior Level (5-8 Yrs),5,8,2410000,TensorFlow|SQL|Python,Scikit-learn|NLP|Machine Learning|PyTorch,MCA,Contract,AngelList,2026-02-15,1,1,2026,2,Feb,2026-02,58,₹20–30L,Senior (6-10yrs)
JOB00042,Data Scientist,Zomato,Indian IT,Saas,Hyderabad,Senior Level (5-8 Yrs),5,8,1370000,Deep Learning|TensorFlow|Machine Learning,SQL|Statistics|R|NLP,BBA + Certification,Internship,Instahyre,2026-04-13,1,1,2026,4,Apr,2026-04,1,₹10–15L,Senior (6-10yrs)
JOB00043,Ai Engineer,Bain,Analytics Firms,Real Estate,Hyderabad,Mid Level (2-5 Yrs),2,5,1640000,Prompt Engineering|FastAPI|NLP,Fine-tuning|RAG|Python|LangChain,MBA,Contract,Indeed,2025-08-15,0,1,2025,8,Aug,2025-08,242,₹15–20L,Mid (3-6yrs)
JOB00044,Data Engineer,Lenskart,Analytics Firms,Media & Entertainment,Bangalore,Mid Level (2-5 Yrs),2,5,2340000,Apache Spark|dbt|ETL Pipelines,Python|Airflow|Kafka|AWS,M.Tech/M.E.,Full-Time,IIMJobs,2025-05-30,1,1,2025,5,May,2025-05,319,₹20–30L,Mid (3-6yrs)
JOB00045,Mlops Engineer,Darwinbox,Indian IT,Saas,Bangalore,Mid Level (2-5 Yrs),2,5,2130000,Docker|AWS|Model Monitoring|Terraform,GCP|Python,B.Tech/B.E.,Full-Time,Glassdoor,2025-08-30,0,1,2025,8,Aug,2025-08,227,₹20–30L,Mid (3-6yrs)
JOB00046,Machine Learning Engineer,Darwinbox,Indian IT,Media & Entertainment,Delhi Ncr,Entry Level (0-2 Yrs),0,2,800000,Model Deployment|AWS|MLOps,Docker|Kubernetes,M.Sc (Data Science),Contract,AngelList,2026-01-31,0,0,2026,1,Jan,2026-01,73,₹5–10L,Fresher (0-1yr)
JOB00047,Ai Engineer,Cred,Indian IT,Telecom,Hyderabad,Entry Level (0-2 Yrs),0,2,1090000,FastAPI|RAG|OpenAI API|NLP|LangChain,LLMs|Vector Databases|Fine-tuning,M.Sc (Statistics),Internship,AngelList,2026-02-19,1,1,2026,2,Feb,2026-02,54,₹10–15L,Fresher (0-1yr)
JOB00048,Research Scientist,Ltimindtree,Indian IT,Real Estate,Pune,Mid Level (2-5 Yrs),2,5,3370000,NLP|TensorFlow|PyTorch,Statistics|Research Papers|Deep Learning|Publications,MCA,Full-Time,LinkedIn,2025-06-01,0,1,2025,6,Jun,2025-06,317,₹30L+,Mid (3-6yrs)
JOB00049,Data Engineer,Apple,Product,Bfsi,Hyderabad,Senior Level (5-8 Yrs),5,8,2250000,BigQuery|AWS|Airflow,ETL Pipelines|SQL,M.Sc (Data Science),Full-Time,Naukri,2025-12-04,0,1,2025,12,Dec,2025-12,131,₹20–30L,Senior (6-10yrs)
JOB00050,Bi Developer,Crayon Data,Analytics Firms,Media & Entertainment,Kolkata,Entry Level (0-2 Yrs),0,2,840000,ETL|Tableau|Looker|SSRS,Power BI|Data Modeling,M.Sc (Data Science),Internship,IIMJobs,2025-10-08,0,0,2025,10,Oct,2025-10,188,₹5–10L,Fresher (0-1yr)
JOB00051,Data Analyst,Salesforce,Product,E-Commerce,Hyderabad,Entry Level (0-2 Yrs),0,2,570000,Data Visualization|Python|Statistics|SQL|Excel,Power BI|Looker,M.Tech/M.E.,Full-Time,Indeed,2025-11-10,0,1,2025,11,Nov,2025-11,155,₹5–10L,Fresher (0-1yr)
JOB00052,Quantitative Analyst,Darwinbox,Product,Gaming,Delhi Ncr,Mid Level (2-5 Yrs),2,5,1130000,R|Risk Analysis|VBA|Statistics,Python|SQL|Financial Modeling|Excel,M.Sc (Statistics),Full-Time,Glassdoor,2025-08-30,0,0,2025,8,Aug,2025-08,227,₹10–15L,Mid (3-6yrs)
JOB00053,Machine Learning Engineer,Infosys,Indian IT,Gaming,Kolkata,Mid Level (2-5 Yrs),2,5,2460000,MLOps|Python|Feature Engineering,Model Deployment|Docker|PyTorch|AWS,PhD,Full-Time,Company Website,2025-06-29,0,1,2025,6,Jun,2025-06,289,₹20–30L,Mid (3-6yrs)
JOB00054,Bi Developer,Phonepe,Consulting,Edtech,Pune,Senior Level (5-8 Yrs),5,8,960000,Looker|SQL|Power BI,Excel|Tableau|DAX|Python,BBA + Certification,Full-Time,LinkedIn,2025-10-13,0,1,2025,10,Oct,2025-10,183,₹5–10L,Senior (6-10yrs)
JOB00055,Bi Developer,Manthan,Analytics Firms,Fintech,Hyderabad,Mid Level (2-5 Yrs),2,5,860000,SSRS|Excel|DAX|Looker|Tableau,Python|Data Modeling,B.Tech/B.E.,Contract,IIMJobs,2025-08-23,0,1,2025,8,Aug,2025-08,234,₹5–10L,Mid (3-6yrs)
JOB00056,Business Analyst,Bigbasket,Analytics Firms,E-Commerce,Mumbai,Mid Level (2-5 Yrs),2,5,390000,Visio|Process Mapping|JIRA|Tableau,Agile|Stakeholder Management|Power BI|Excel,M.Tech/M.E.,Internship,Company Website,2025-07-30,0,0,2025,7,Jul,2025-07,258,₹0–5L,Mid (3-6yrs)
JOB00057,Ai Engineer,Infosys,Analytics Firms,It Services,Hyderabad,Senior Level (5-8 Yrs),5,8,2430000,LangChain|OpenAI API|LLMs|Python,Prompt Engineering|NLP|FastAPI,MCA,Internship,LinkedIn,2026-02-24,0,1,2026,2,Feb,2026-02,49,₹20–30L,Senior (6-10yrs)
JOB00058,Machine Learning Engineer,Capgemini,Indian IT,E-Commerce,Pune,Entry Level (0-2 Yrs),0,2,1470000,Docker|Kubernetes|TensorFlow|Model Deployment,GCP|PyTorch|Feature Engineering|MLOps,M.Sc (Statistics),Internship,Glassdoor,2025-08-11,0,1,2025,8,Aug,2025-08,246,₹10–15L,Fresher (0-1yr)
JOB00059,Data Scientist,Darwinbox,FAANG/Big Tech,Gaming,Mumbai,Mid Level (2-5 Yrs),2,5,1660000,SQL|Python|TensorFlow,Statistics|Deep Learning|R|Scikit-learn,MCA,Internship,IIMJobs,2025-10-17,0,1,2025,10,Oct,2025-10,179,₹15–20L,Mid (3-6yrs)
JOB00060,Quantitative Analyst,Slice,FAANG/Big Tech,Bfsi,Hyderabad,Entry Level (0-2 Yrs),0,2,1000000,Excel|R|Python|Monte Carlo Simulation,Financial Modeling|Risk Analysis|Statistics,MBA,Contract,Instahyre,2025-05-04,0,1,2025,5,May,2025-05,345,₹10–15L,Fresher (0-1yr)
JOB00061,Data Engineer,Adobe,Consulting,Real Estate,Mumbai,Mid Level (2-5 Yrs),2,5,1930000,dbt|Python|BigQuery,Apache Spark|Kafka,M.Sc (Data Science),Full-Time,Glassdoor,2025-12-27,0,1,2025,12,Dec,2025-12,108,₹15–20L,Mid (3-6yrs)
JOB00062,Ai Engineer,Groww,Startups,Telecom,Mumbai,Entry Level (0-2 Yrs),0,2,1730000,FastAPI|Python|NLP|Fine-tuning,RAG|LLMs,MBA,Contract,AngelList,2025-11-05,0,1,2025,11,Nov,2025-11,160,₹15–20L,Fresher (0-1yr)
JOB00063,Machine Learning Engineer,Sigmoid,Indian IT,Healthtech,Bangalore,Senior Level (5-8 Yrs),5,8,3750000,Model Deployment|AWS|TensorFlow,Docker|MLOps|GCP,M.Tech/M.E.,Internship,Naukri,2025-12-22,0,1,2025,12,Dec,2025-12,113,₹30L+,Senior (6-10yrs)
JOB00064,Bi Developer,Swiggy,Startups,Telecom,Bangalore,Mid Level (2-5 Yrs),2,5,640000,Python|SQL|Power BI,DAX|SSRS,BBA + Certification,Contract,Glassdoor,2025-08-05,1,1,2025,8,Aug,2025-08,252,₹5–10L,Mid (3-6yrs)
JOB00065,Data Analyst,Phonepe,Analytics Firms,Gaming,Pune,Entry Level (0-2 Yrs),0,2,560000,Excel|Python|Data Visualization|Tableau,SQL|Looker|R|Power BI,M.Tech/M.E.,Internship,IIMJobs,2026-03-06,0,1,2026,3,Mar,2026-03,39,₹5–10L,Fresher (0-1yr)
JOB00066,Nlp Engineer,Darwinbox,Analytics Firms,Bfsi,Delhi Ncr,Senior Level (5-8 Yrs),5,8,2120000,BERT|Python|TensorFlow|Text Classification,spaCy|NLP|Transformers|HuggingFace,PhD,Internship,Indeed,2025-12-09,0,0,2025,12,Dec,2025-12,126,₹20–30L,Senior (6-10yrs)
JOB00067,Machine Learning Engineer,Musigma,Indian IT,Telecom,Pune,Senior Level (5-8 Yrs),5,8,3190000,TensorFlow|Feature Engineering|AWS,MLOps|Model Deployment|Kubernetes,MCA,Full-Time,AngelList,2026-01-28,1,1,2026,1,Jan,2026-01,76,₹30L+,Senior (6-10yrs)
JOB00068,Machine Learning Engineer,Nykaa,Indian IT,Edtech,Mumbai,Mid Level (2-5 Yrs),2,5,2120000,Feature Engineering|TensorFlow|AWS|Docker,MLOps|Python,M.Sc (Statistics),Contract,Company Website,2025-10-11,0,1,2025,10,Oct,2025-10,185,₹20–30L,Mid (3-6yrs)
JOB00069,Data Analyst,Salesforce,FAANG/Big Tech,It Services,Pune,Senior Level (5-8 Yrs),5,8,1660000,R|Power BI|Statistics,Excel|Looker|Google Analytics|Data Visualization,BCA,Contract,AngelList,2025-09-02,0,0,2025,9,Sep,2025-09,224,₹15–20L,Senior (6-10yrs)
JOB00070,Data Scientist,Lenskart,FAANG/Big Tech,Saas,Chennai,Entry Level (0-2 Yrs),0,2,640000,Scikit-learn|R|SQL|NLP|PyTorch,Deep Learning|Statistics|Python|TensorFlow,B.Tech/B.E.,Contract,Glassdoor,2025-06-09,0,1,2025,6,Jun,2025-06,309,₹5–10L,Fresher (0-1yr)
JOB00071,Computer Vision Engineer,Wipro,Indian IT,It Services,Bangalore,Senior Level (5-8 Yrs),5,8,3650000,OpenCV|PyTorch|Object Detection,TensorFlow|Python|CNN,BCA,Contract,Naukri,2026-03-18,0,1,2026,3,Mar,2026-03,27,₹30L+,Senior (6-10yrs)
JOB00072,Mlops Engineer,Tiger Analytics,Consulting,Retail,Bangalore,Senior Level (5-8 Yrs),5,8,2270000,Kubernetes|GCP|Terraform|Airflow,Python|Model Monitoring|AWS|Docker,BBA + Certification,Internship,IIMJobs,2025-12-25,0,1,2025,12,Dec,2025-12,110,₹20–30L,Senior (6-10yrs)
JOB00073,Machine Learning Engineer,Darwinbox,Indian IT,Telecom,Hyderabad,Entry Level (0-2 Yrs),0,2,720000,Feature Engineering|Python|MLOps|Kubernetes,PyTorch|Docker|AWS|TensorFlow,MBA,Full-Time,Naukri,2025-06-04,0,1,2025,6,Jun,2025-06,314,₹5–10L,Fresher (0-1yr)
JOB00074,Quantitative Analyst,Gartner,Indian IT,Logistics,Mumbai,Mid Level (2-5 Yrs),2,5,1650000,VBA|Excel|SQL|Monte Carlo Simulation,Python|Statistics,M.Tech/M.E.,Internship,Glassdoor,2026-03-11,0,1,2026,3,Mar,2026-03,34,₹15–20L,Mid (3-6yrs)
JOB00075,Machine Learning Engineer,Zs Associates,Consulting,Govtech,Remote,Mid Level (2-5 Yrs),2,5,1800000,TensorFlow|GCP|Python,Docker|MLOps,B.Tech/B.E.,Full-Time,AngelList,2026-03-23,1,1,2026,3,Mar,2026-03,22,₹15–20L,Mid (3-6yrs)
JOB00076,Research Scientist,Hcl Technologies,Product,Manufacturing,Bangalore,Mid Level (2-5 Yrs),2,5,3610000,Mathematics|TensorFlow|Deep Learning,Publications|PyTorch|Statistics|NLP,M.Sc (Statistics),Full-Time,Instahyre,2025-09-01,0,1,2025,9,Sep,2025-09,225,₹30L+,Mid (3-6yrs)
JOB00077,Nlp Engineer,Ibm,Analytics Firms,Manufacturing,Bangalore,Entry Level (0-2 Yrs),0,2,1210000,spaCy|NLTK|NLP,Python|Transformers|Text Classification|TensorFlow,MCA,Contract,Glassdoor,2025-08-29,0,1,2025,8,Aug,2025-08,228,₹10–15L,Fresher (0-1yr)
JOB00078,Mlops Engineer,Razorpay,Indian IT,Media & Entertainment,Bangalore,Mid Level (2-5 Yrs),2,5,2140000,Kubernetes|Python|Model Monitoring|AWS,GCP|CI/CD|Docker|Terraform,M.Sc (Statistics),Full-Time,IIMJobs,2026-03-11,1,1,2026,3,Mar,2026-03,34,₹20–30L,Mid (3-6yrs)
JOB00079,Data Analyst,Accenture India,Indian IT,Retail,Delhi Ncr,Mid Level (2-5 Yrs),2,5,850000,Statistics|R|Python|Excel|SQL,Power BI|Tableau|Google Analytics,M.Tech/M.E.,Full-Time,AngelList,2025-07-23,0,1,2025,7,Jul,2025-07,265,₹5–10L,Mid (3-6yrs)
JOB00080,Data Engineer,Zomato,Startups,Govtech,Bangalore,Mid Level (2-5 Yrs),2,5,2240000,Snowflake|SQL|AWS|ETL Pipelines,Kafka|Python,M.Sc (Data Science),Full-Time,Indeed,2025-07-07,0,1,2025,7,Jul,2025-07,281,₹20–30L,Mid (3-6yrs)
JOB00081,Data Analyst,Oracle,Startups,Manufacturing,Bangalore,Entry Level (0-2 Yrs),0,2,540000,Google Analytics|Power BI|Excel|SQL,R|Statistics|Data Visualization,BBA + Certification,Full-Time,Indeed,2025-07-19,1,1,2025,7,Jul,2025-07,269,₹5–10L,Fresher (0-1yr)
JOB00082,Ai Engineer,Mphasis,Indian IT,Govtech,Delhi Ncr,Mid Level (2-5 Yrs),2,5,1360000,Fine-tuning|Python|LLMs,FastAPI|Prompt Engineering|RAG,BCA,Full-Time,AngelList,2026-01-20,0,1,2026,1,Jan,2026-01,84,₹10–15L,Mid (3-6yrs)
JOB00083,Business Analyst,Apple,FAANG/Big Tech,Gaming,Mumbai,Mid Level (2-5 Yrs),2,5,420000,Visio|Power BI|Process Mapping|JIRA|Requirements Gathering,Stakeholder Management|Tableau,B.Tech/B.E.,Full-Time,LinkedIn,2025-06-30,1,0,2025,6,Jun,2025-06,288,₹0–5L,Mid (3-6yrs)
JOB00084,Data Scientist,Darwinbox,FAANG/Big Tech,Bfsi,Delhi Ncr,Entry Level (0-2 Yrs),0,2,940000,SQL|R|Scikit-learn|Machine Learning|Statistics,NLP|PyTorch|TensorFlow|Python,MBA,Contract,Instahyre,2025-04-27,0,1,2025,4,Apr,2025-04,352,₹5–10L,Fresher (0-1yr)
JOB00085,Machine Learning Engineer,Sigmoid,FAANG/Big Tech,Fintech,Remote,Senior Level (5-8 Yrs),5,8,1720000,Feature Engineering|TensorFlow|Kubernetes|Model Deployment,Docker|Python|MLOps|PyTorch,M.Sc (Data Science),Contract,IIMJobs,2025-12-09,1,1,2025,12,Dec,2025-12,126,₹15–20L,Senior (6-10yrs)
JOB00086,Computer Vision Engineer,Ltimindtree,Product,Retail,Delhi Ncr,Entry Level (0-2 Yrs),0,2,790000,NumPy|Object Detection|Deep Learning,YOLO|PyTorch|Python,B.Sc (CS/IT),Full-Time,Company Website,2026-02-27,0,1,2026,2,Feb,2026-02,46,₹5–10L,Fresher (0-1yr)
JOB00087,Data Scientist,Zs Associates,Startups,Telecom,Bangalore,Mid Level (2-5 Yrs),2,5,710000,TensorFlow|SQL|Statistics,R|NLP|PyTorch,PhD,Full-Time,Glassdoor,2026-03-22,0,1,2026,3,Mar,2026-03,23,₹5–10L,Mid (3-6yrs)
